Date_time|Bet|Win|Winning_text|Cards_played|Potential_win|Potential_winning_text|Ten_cards
09/02/2021, 23:17:54|5|0||['spades_jack', 'spades_7', 'hearts_queen', 'spades_10', 'clubs_9']|5|Pair Queen's|['spades_jack', 'diamonds_ace', 'hearts_queen', 'spades_10', 'clubs_9', 'spades_7', 'clubs_6', 'diamonds_2', 'hearts_3', 'spades_queen']
09/02/2021, 23:18:02|5|5|Pair Queen's|['spades_queen', 'spades_8', 'diamonds_queen', 'hearts_king', 'diamonds_2']|20|Straight|['spades_3', 'clubs_2', 'diamonds_queen', 'hearts_king', 'hearts_5', 'spades_queen', 'spades_8', 'diamonds_2', 'clubs_ace', 'hearts_6']
09/02/2021, 23:18:11|5|0||['clubs_ace', 'spades_jack', 'clubs_10', 'hearts_2', 'spades_king']|30|Flush|['diamonds_5', 'spades_jack', 'clubs_9', 'spades_4', 'spades_2', 'clubs_ace', 'clubs_10', 'hearts_2', 'spades_king', 'spades_queen']
09/02/2021, 23:18:19|5|0||['clubs_5', 'clubs_ace', 'hearts_2', 'diamonds_king', 'hearts_queen']|0||['spades_9', 'clubs_ace', 'clubs_7', 'hearts_8', 'hearts_queen', 'clubs_5', 'hearts_2', 'diamonds_king', 'hearts_jack', 'diamonds_9']
09/02/2021, 23:18:30|5|15|Three of a kind|['hearts_5', 'diamonds_5', 'diamonds_9', 'spades_5', 'clubs_queen']|45|Full house|['hearts_5', 'diamonds_5', 'diamonds_3', 'spades_5', 'clubs_king', 'diamonds_9', 'clubs_queen', 'diamonds_10', 'spades_3', 'spades_6']
09/02/2021, 23:18:42|5|0||['diamonds_10', 'diamonds_queen', 'hearts_8', 'clubs_king', 'spades_ace']|10|Two pair|['spades_6', 'diamonds_queen', 'clubs_3', 'clubs_king', 'spades_ace', 'diamonds_10', 'hearts_8', 'hearts_queen', 'clubs_jack', 'spades_3']
09/02/2021, 23:18:51|5|5|Pair Ace's|['clubs_ace', 'spades_4', 'spades_queen', 'spades_ace', 'clubs_10']|30|Flush|['clubs_ace', 'clubs_3', 'diamonds_6', 'spades_ace', 'clubs_king', 'spades_4', 'spades_queen', 'clubs_10', 'spades_7', 'spades_king']
09/02/2021, 23:18:59|5|0||['clubs_9', 'clubs_king', 'hearts_9', 'clubs_2', 'diamonds_8']|10|Two pair|['clubs_9', 'diamonds_10', 'hearts_9', 'diamonds_3', 'diamonds_5', 'clubs_king', 'clubs_2', 'diamonds_8', 'spades_2', 'hearts_jack']
09/02/2021, 23:19:09|5|5|Pair Queen's|['diamonds_6', 'spades_queen', 'hearts_3', 'diamonds_queen', 'spades_9']|20|Straight|['spades_3', 'spades_queen', 'hearts_8', 'diamonds_queen', 'hearts_4', 'diamonds_6', 'hearts_3', 'spades_9', 'hearts_jack', 'clubs_2']
09/02/2021, 23:19:16|5|0||['spades_4', 'diamonds_jack', 'hearts_8', 'spades_8', 'spades_10']|20|Straight|['diamonds_7', 'diamonds_ace', 'hearts_8', 'spades_8', 'clubs_4', 'spades_4', 'diamonds_jack', 'spades_10', 'hearts_9', 'diamonds_10']
09/02/2021, 23:19:26|5|5|Pair Jack's|['clubs_ace', 'clubs_queen', 'clubs_jack', 'diamonds_6', 'hearts_jack']|10|Two pair|['diamonds_4', 'clubs_queen', 'clubs_jack', 'clubs_3', 'spades_5', 'clubs_ace', 'diamonds_6', 'hearts_jack', 'hearts_queen', 'diamonds_ace']
